Edad,Sexo,Estatura,Peso,DiasDeporte
46,mujer,148.2,47.3,7
61,mujer,147.6,56.5,3
44,mujer,155.1,53.9,2
80,hombre,168,81.1,1
15,mujer,166.7,80.7,4
76,mujer,163.4,85.2,0
29,hombre,181.8,83,5
63,mujer,150.6,75.2,0
63,hombre,178.8,87.8,0
50,hombre,171.5,87.2,0
70,mujer,145.8,86,0
16,mujer,164.8,71.4,1
31,mujer,162.6,122,4
30,mujer,162.4,54,0
52,mujer,157.7,72,0
46,hombre,178.4,108.9,0
22,mujer,157.3,80.3,1
6,hombre,127.1,31,0
48,hombre,186.5,89.2,0
27,mujer,158.2,95.9,0
55,hombre,179.2,86.6,0
62,mujer,156.6,50.9,0
54,hombre,163.1,93.5,1
39,mujer,165.2,100.3,0
42,hombre,172.8,76.6,0
46,mujer,150,78.1,0
56,mujer,154,69.6,0
46,mujer,166,58.9,2
14,hombre,175.5,40.8,7
29,hombre,165.7,64.3,5
31,hombre,172.5,86.2,0
36,mujer,172.7,62.400000000000006,7
0,mujer,NA,4.5,0
49,hombre,181.4,75.6,1
60,mujer,167.8,78.5,5
28,mujer,166.9,69.9,0
8,hombre,128.5,30.1,0
32,hombre,160.4,98.1,0
46,hombre,178.8,93.1,2
55,mujer,158.7,71.8,0
57,hombre,179.3,97.9,3
79,hombre,178.3,88.3,0
9,mujer,140.2,30.3,0
46,hombre,180.4,74.5,0
22,mujer,154.8,65.8,0
7,mujer,130.2,41.8,0
60,mujer,162.4,83.8,2
35,hombre,169.2,80.6,1
29,mujer,160.8,80.5,3
74,mujer,159.5,66.6,0
12,mujer,159.6,73,0
44,mujer,160.6,68.2,4
36,hombre,178.7,86.3,2
18,mujer,159.6,80.6,0
31,hombre,175.8,105.8,2
32,mujer,164.9,62.8,2
32,mujer,163.7,91.9,0
16,mujer,162.6,76.1,5
65,hombre,169.9,81,6
55,hombre,158.9,57.6,0
9,mujer,142.6,41.8,0
77,hombre,173.2,85.8,3
19,hombre,182.9,75,7
11,hombre,161.4,61.5,0
62,hombre,182.5,93.2,2
26,mujer,173.1,56.3,4
39,hombre,191.5,118.2,1
68,mujer,175,157.2,0
9,hombre,143.6,59.5,0
47,hombre,192.6,88.3,2
0,mujer,NA,9.5,0
80,mujer,152.7,77.2,0
72,hombre,177.9,85.9,2
40,mujer,158.8,82.5,0
18,hombre,176.4,119.7,2
30,hombre,184,61.8,7
65,hombre,179,95.9,3
20,hombre,181.1,102.1,1
61,mujer,161.8,56.6,2
79,mujer,161.3,55.4,0
2,hombre,93.7,14.2,0
52,mujer,166,102.4,4
15,mujer,169.6,103.6,5
61,mujer,154.1,96.9,0
56,hombre,182.3,100.6,0
10,mujer,153,65.8,0
12,mujer,153.4,40.8,0
74,mujer,156.8,99.2,0
50,mujer,162.7,64.3,3
48,mujer,162.8,93.9,0
13,hombre,173.3,55.4,4
43,mujer,165.3,61.8,0
67,mujer,151.7,57.7,0
25,mujer,159.1,102.4,0
6,hombre,123.5,24.4,0
67,hombre,179.3,95.1,5
13,hombre,167.5,66.3,3
38,mujer,155.6,60.7,5
61,hombre,187.1,168.8,0
74,hombre,184.6,110.2,1
29,mujer,159.8,72.2,0
42,hombre,176,108.1,3
60,mujer,146.6,49.5,0
31,mujer,160.5,106.1,2
70,hombre,180.1,79.4,7
56,mujer,167.2,97.4,0
12,mujer,156.1,35.6,4
53,mujer,170,85.3,7
45,mujer,171.7,56.6,0
73,mujer,159.8,117,0
9,hombre,135.8,27.9,0
73,hombre,185.7,73.4,5
17,hombre,177.1,57.099999999999994,6
40,hombre,180.2,113.3,1
33,hombre,165.4,93.4,0
44,mujer,166.5,58,0
13,mujer,164.5,48.8,6
73,hombre,163.9,70.9,0
55,hombre,174.2,90.6,0
16,hombre,180.7,68.9,1
39,hombre,179.3,126.9,2
65,mujer,169.8,62.8,4
20,hombre,186.2,81.6,0
48,mujer,158.3,40.9,5
38,hombre,173,71.4,5
48,mujer,161.6,92.7,0
12,hombre,158.1,49.5,4
65,hombre,175.5,62,3
39,mujer,173.3,99.1,2
21,hombre,169.8,84,0
6,hombre,127.9,28.2,0
63,hombre,169.3,75.3,0
54,hombre,176.8,79.8,3
56,mujer,163.7,102.7,5
21,mujer,149,98.9,1
76,hombre,158.4,65.9,0
19,mujer,156.8,51.9,0
43,mujer,163.4,81.7,0
45,hombre,170.7,97.2,1
60,hombre,NA,NA,0
43,hombre,189.5,124.7,0
43,hombre,192.6,66.2,5
18,mujer,154.8,68,0
80,mujer,162.8,65.6,0
25,hombre,179.6,62,7
4,hombre,107,21.7,0
25,hombre,184.4,64,3
54,hombre,179.4,NA,0
29,hombre,166.3,59.5,3
7,mujer,110.1,17.6,0
46,hombre,176.6,86.8,0
33,mujer,173.5,74.5,0
50,mujer,156.1,49.3,0
54,hombre,176,83.8,1
16,hombre,186.3,65.5,5
9,mujer,145,38.6,0
39,mujer,159.5,72.2,0
80,hombre,171.7,78,0
32,hombre,175.1,68.3,1
56,mujer,167.8,58.3,3
17,hombre,183.2,150,0
18,hombre,170,60.6,0
0,hombre,NA,6.9,0
16,hombre,175.6,68.9,5
29,mujer,167,84.3,0
69,mujer,163.4,60.400000000000006,4
25,mujer,164.2,54.7,1
52,mujer,168.5,230.7,0
18,mujer,164.5,62.9,0
28,hombre,189,112,3
40,mujer,154.7,82.3,3
51,mujer,148.9,37.7,6
20,mujer,160.9,109.7,0
72,hombre,165,93.9,0
10,hombre,146.3,57.8,0
65,mujer,164.7,59.3,3
80,mujer,166.6,71.5,0
24,mujer,160.8,71.2,0
18,mujer,165.9,58.1,1
57,hombre,185.1,112.5,5
45,hombre,175.1,68.5,4
28,mujer,165.6,65.5,0
8,hombre,130.8,27.1,0
22,hombre,175.6,160.6,0
49,hombre,182.9,108.6,4
11,hombre,160.3,42.1,0
34,mujer,167.2,99.5,2
69,mujer,163.6,77.1,0
33,hombre,179.7,77.8,1
31,mujer,167.8,115.3,0
62,hombre,164,66.8,3
0,hombre,NA,10.7,0
7,hombre,120.1,27.3,0
61,mujer,169.6,101.4,4
75,mujer,149.7,77.1,0
47,mujer,143.6,54.3,0
35,hombre,173.6,95,0
78,hombre,NA,NA,1
8,hombre,139.7,47.9,0
54,mujer,161.9,67.9,0
56,hombre,174.4,111.3,1
30,hombre,183.6,72.7,0
73,mujer,160.4,87.3,0
21,hombre,177.4,61.8,0
33,mujer,160.7,89.8,0
45,mujer,154.6,50.3,0
41,hombre,149.4,96.2,0
80,hombre,172.4,81.8,3
0,mujer,NA,9,0
0,mujer,NA,6,0
71,hombre,168.1,66.9,0
44,mujer,165.8,79.3,0
65,mujer,156.7,78.8,4
24,mujer,160.9,88.7,5
63,hombre,177.2,96.6,0
22,mujer,162,58.3,3
80,mujer,158.6,66.7,0
64,hombre,172.7,95.5,2
0,mujer,NA,8.7,0
10,mujer,137.5,40.5,0
0,mujer,NA,4.7,0
58,hombre,178.9,84.1,0
46,mujer,148.1,43.7,0
2,hombre,97.2,14.1,0
3,mujer,100.5,14.7,0
19,hombre,176.5,53.8,5
20,mujer,161.9,88,0
31,mujer,169.6,58.5,6
15,hombre,171.6,50.8,5
16,hombre,185.4,57.6,4
42,hombre,160.3,82.9,2
78,mujer,155.1,36.5,7
60,mujer,158.8,51.8,3
38,hombre,170.2,70.2,1
11,mujer,140.6,32.1,0
54,hombre,168.6,79.7,0
77,mujer,151.4,82.9,0
50,mujer,163.5,59.7,6
16,mujer,157.5,49.3,5
1,mujer,NA,12.2,0
52,mujer,158.6,53.8,0
54,mujer,161.7,67.3,0
19,mujer,NA,NA,0
14,mujer,155.3,52.2,5
9,hombre,126.1,20.5,0
43,hombre,180,78.9,2
52,mujer,156.5,101,0
37,hombre,173.9,86.4,4
59,mujer,168.7,103,0
13,hombre,161.8,47.3,3
19,hombre,185.3,101.8,0
59,mujer,164,71.4,3
58,hombre,183.6,105.2,4
24,hombre,177.1,108.1,1
68,mujer,170.4,52.8,3
15,hombre,185.4,69.1,3
29,mujer,159.1,85.2,3
39,mujer,170.6,53.2,2
30,hombre,178.4,87.3,0
35,mujer,175.8,50.5,7
25,mujer,159.8,55.7,0
32,hombre,183.8,97.3,0
49,hombre,177.3,134.7,0
78,hombre,171,63.099999999999994,3
15,hombre,178.4,57.3,6
64,mujer,155.3,57.2,2
39,hombre,187.3,80.8,7
36,mujer,164.2,58.2,0
64,mujer,165.3,63.5,7
72,mujer,163.8,73,0
63,hombre,176.5,71.3,7
24,mujer,152.3,84.7,0
75,hombre,175.6,77.8,5
60,mujer,165.3,82.6,0
50,mujer,166.4,98.3,0
25,mujer,162.5,63.7,0
6,mujer,122.3,26.9,0
35,hombre,164.1,86.3,1
18,mujer,NA,NA,0
64,mujer,157.2,78.5,0
67,mujer,156.7,97.4,0
44,mujer,160.5,66.9,0
48,mujer,167.6,58.2,0
76,mujer,161.8,88.4,0
7,mujer,125.7,24.5,0
18,hombre,186.8,142,3
4,mujer,98.4,15.2,0
43,hombre,183,95.5,2
39,hombre,188.5,100.4,3
80,hombre,166.1,47.9,7
71,hombre,169.8,101.3,0
66,mujer,137.3,61.599999999999994,3
25,mujer,168.2,66.2,3
14,mujer,169.6,64.4,4
2,hombre,89,13.3,0
80,mujer,156.4,52.9,5
8,mujer,127.7,31.6,0
13,hombre,140,31.9,3
77,mujer,149,68.5,0
44,mujer,160.9,73.8,0
80,hombre,174.1,84.7,0
44,hombre,169.7,81.5,0
31,mujer,159.2,51.4,0
56,hombre,160.8,60.3,7
28,mujer,176.5,94.5,3
67,hombre,174.5,102.5,0
10,mujer,159.4,44.7,0
38,mujer,173.9,66.7,3
14,mujer,168.7,46.4,3
51,hombre,164,93.6,0
15,mujer,172.4,45.3,6
6,hombre,108.6,16.9,0
30,mujer,168.6,109.2,0
63,mujer,165.4,75.6,0
52,hombre,160.9,115.2,2
73,mujer,176.5,101,0
58,hombre,180.1,98.6,0
68,mujer,156.2,60.900000000000006,5
35,mujer,173.7,86.7,2
12,mujer,162.1,52.6,3
53,mujer,172.6,65.2,3
47,mujer,163.6,59.7,0
28,mujer,152.7,106.2,3
34,mujer,161.7,51,0
14,hombre,157.9,42.5,6
19,hombre,181.5,68.1,7
73,hombre,171.4,82.9,0
26,hombre,177.5,139.1,0
31,mujer,167.9,145.3,0
37,mujer,164.4,86.9,0
36,mujer,170.9,96.8,0
13,mujer,160.6,64.1,5
52,hombre,171.4,51.5,7
3,mujer,103.3,20.9,0
64,mujer,162.6,102.9,0
80,mujer,151.6,67.5,2
11,hombre,139.1,46,0
25,hombre,172.8,126.2,2
34,hombre,181.4,62.599999999999994,7
0,hombre,NA,9.6,0
61,hombre,164.2,59.4,0
1,hombre,NA,10.5,0
19,mujer,167.6,60.4,0
15,hombre,178.6,70,2
33,mujer,168.7,86.6,0
29,mujer,158.8,44.2,2
76,mujer,162.7,84.5,0
18,hombre,178.5,92.9,4
0,hombre,NA,9.4,0
44,mujer,149.4,81.2,0
39,mujer,168.9,78.3,0
7,hombre,138.1,29.9,0
23,mujer,167.5,76.3,3
32,hombre,177.5,78.3,2
17,hombre,193.3,100.2,3
36,mujer,163.4,48.7,2
67,mujer,170,80.2,2
80,mujer,151.7,72.2,0
77,mujer,143.3,68.6,0
31,hombre,171.6,67.8,0
53,mujer,165.6,77.2,0
73,hombre,169.7,82.2,6
50,mujer,164.8,90.2,0
19,mujer,172,74.4,0
80,mujer,156.5,67.2,4
55,hombre,172.6,90.6,0
68,hombre,178.2,61.9,0
1,hombre,NA,15.4,0
26,mujer,157.6,75.1,0
17,hombre,167.6,68.7,5
51,mujer,157.9,66.8,0
44,mujer,158.8,78.7,0
48,mujer,159.2,75.8,0
16,hombre,189.2,77.3,5
6,hombre,112.2,23.3,0
43,mujer,159.1,131.7,0
16,mujer,169.9,50.1,3
9,hombre,144.5,30.1,0
22,hombre,177.1,69.1,6
3,mujer,100.7,18.2,0
51,hombre,178.4,83.6,0
64,hombre,166.7,75.2,0
12,mujer,154.8,59.1,0
27,mujer,167.7,66.6,3
12,hombre,162.6,43.5,4
9,hombre,152.1,47.2,0
35,mujer,171.4,85.6,0
70,hombre,174.6,99.3,3
12,mujer,153.6,45,3
2,mujer,85.5,15.6,0
72,mujer,155.1,61.9,0
20,hombre,171,57.9,0
68,hombre,181.2,98.6,3
36,hombre,175.6,100.3,0
12,mujer,154,65.9,2
11,mujer,153.6,42.5,0
28,hombre,187.3,118.2,0
6,hombre,115.9,19.6,0
23,hombre,180.1,65.3,3
6,hombre,134.1,53,0
28,mujer,171.1,65.5,0
44,mujer,174.3,112,3
73,mujer,161.6,80.2,0
80,mujer,148,39.3,3
36,mujer,159.7,53.8,0
80,hombre,167.1,69.5,3
6,hombre,122,22.1,0
37,hombre,176.1,63.5,3
38,hombre,180,92.3,4
0,hombre,NA,6.1,0
16,hombre,170.6,52.5,4
9,hombre,136.4,36.9,0
52,mujer,164.3,41.1,4
14,mujer,159.6,59.4,2
20,hombre,176.3,59.400000000000006,7
26,hombre,183.3,97.2,4
53,hombre,164.3,87.6,1
2,hombre,88.7,15,0
1,mujer,NA,11,0
51,hombre,194.9,75.1,3
65,mujer,169.2,63.7,6
5,hombre,107.7,17.9,0
44,mujer,161.2,62.7,0
14,hombre,166.5,38.5,5
2,hombre,93.8,14.4,0
15,mujer,155.8,52.9,3
23,mujer,156.6,62.3,0
1,mujer,NA,11.3,0
16,mujer,157.3,108.5,3
1,mujer,NA,9.2,0
66,hombre,175.1,75.2,3
46,hombre,181.4,131.5,0
53,mujer,164.9,53.7,4
59,mujer,159.2,82,0
69,hombre,176.7,79.7,2
10,mujer,142.6,46.1,0
2,mujer,86.1,12.1,0
28,mujer,159.8,48.3,0
55,mujer,152.1,58.9,0
13,hombre,163.2,42.4,4
22,mujer,163.4,101.8,0
72,mujer,157.3,92.4,0
2,mujer,91.5,NA,0
44,mujer,178.9,130.2,0
25,hombre,179.4,57,2
52,mujer,156.4,82,0
56,mujer,154.7,104.1,0
73,mujer,152.3,87.2,0
2,mujer,85.7,13.8,0
57,mujer,158.7,48.7,7
75,hombre,173.1,107,0
66,hombre,191.6,110.6,4
47,mujer,160.2,82.2,7
27,mujer,155.6,54.7,0
42,mujer,161.6,69.2,0
22,hombre,184.1,62.900000000000006,4
2,hombre,89.8,12.3,0
52,hombre,174.7,160.7,0
39,hombre,188.4,107.1,5
26,mujer,173.1,62.099999999999994,3
13,hombre,161.5,58.8,7
2,hombre,87.1,12.4,0
14,hombre,164,53.6,0
53,hombre,176.7,73.4,4
30,hombre,169.8,63,5
43,hombre,175.2,81.4,2
8,hombre,135.2,38,0
27,hombre,177.1,85.9,5
55,hombre,184.6,76.9,0
23,mujer,162.1,52.7,3
0,hombre,NA,5.9,0
7,hombre,132.2,23.3,0
1,mujer,NA,11,0
28,mujer,162.8,57.8,0
51,mujer,162.4,90.2,0
11,hombre,153,56.4,0
80,mujer,150.6,67.3,0
65,mujer,160.5,76.9,0
15,hombre,173.9,68.9,5
14,hombre,157.3,46.2,0
34,mujer,147.1,46.5,4
68,mujer,156.2,56.9,1
11,mujer,154.6,40.1,0
37,mujer,164.2,83.5,0
4,hombre,120.8,24.4,0
47,mujer,157.8,60.1,0
59,hombre,184.4,89.2,4
24,hombre,167.6,70.6,3
53,mujer,158.8,104.4,0
1,hombre,NA,9.7,0
44,mujer,156.1,128.8,0
18,hombre,179.9,69.4,1
68,mujer,158,77.5,0
80,mujer,144.9,52.7,0
4,mujer,107.7,21.9,0
55,mujer,164.5,57,7
47,mujer,166.8,79.9,0
39,hombre,173.5,84.2,4
63,mujer,152.2,76.4,5
21,mujer,174,73.6,2
9,hombre,131.5,30.9,0
57,hombre,174.6,85.1,0
43,mujer,163.4,98.4,0
5,mujer,109.7,18.5,0
70,mujer,166.6,59.599999999999994,5
29,hombre,173.5,113.7,2
6,hombre,119.6,22.8,0
24,hombre,189.5,83.7,5
80,hombre,173,83.5,0
45,hombre,166.7,78.1,0
71,mujer,150.8,109.6,0
56,hombre,185.8,94.7,0
21,mujer,160.7,105.4,0
24,hombre,166.1,56,0
3,mujer,93.8,12.8,0
22,hombre,189.8,76.8,2
52,mujer,168.4,72.5,6
74,hombre,160.2,51.6,7
24,mujer,167.5,89.6,0
18,mujer,159.9,46.1,2
0,mujer,NA,9.1,0
51,hombre,178.7,119.3,0
16,mujer,165.2,56,3
52,mujer,157.3,103.3,0
26,mujer,170.6,137.1,0
9,mujer,141,42.2,0
32,hombre,168.6,68.9,1
17,mujer,169.5,52.3,5
12,hombre,154.1,64.3,5
37,hombre,181,115.2,2
80,hombre,176.8,113,0
6,mujer,130,31.2,0
23,mujer,157.4,71.7,0
46,mujer,174.6,50.8,5
27,mujer,180.6,74.1,6
74,hombre,177.6,111.3,0
18,mujer,159.1,78.3,2
46,hombre,172.2,79.7,4
14,mujer,161.2,36.3,5
41,hombre,180.8,69.6,2
15,mujer,169.7,55.6,0
39,mujer,168,61.8,4
68,hombre,177.2,57.8,0
37,mujer,146.6,59,4
68,mujer,159.6,64,0
72,hombre,166.6,68.1,6
77,hombre,173.2,94.3,0
25,hombre,179.9,62.4,1
4,hombre,101.5,15.5,0
47,hombre,170.7,84.6,0
11,hombre,156.1,53.9,0
40,mujer,161.7,53.5,0
43,hombre,179.2,81.6,2
6,hombre,113.5,19.6,0
25,hombre,165.7,58.4,1
28,mujer,169.1,54.400000000000006,7
54,hombre,180.6,86.2,5
7,hombre,118.5,21.2,0
23,hombre,161.3,75.8,2
17,hombre,180.7,86.5,5
39,hombre,170.5,115.9,3
70,mujer,169.8,73.3,1
53,hombre,176.1,72.6,7
80,hombre,168.2,76.2,1
1,mujer,NA,11.2,0
42,hombre,177.5,76.4,2
16,hombre,175.1,59.7,3
59,mujer,165.4,85.3,0
46,hombre,175.6,71.3,2
8,mujer,132.7,30.5,0
75,mujer,148.7,46.6,0
24,hombre,174.5,107.6,0
4,hombre,107.8,18.4,0
30,mujer,159.5,64.7,0
13,hombre,166.5,45.9,5
55,mujer,153.1,56,7
47,mujer,157.3,46.1,0
21,mujer,156.6,53.2,0
8,mujer,138.5,49.4,0
50,mujer,165.6,72.5,0
35,hombre,180.1,90.2,2
66,hombre,178.9,88.7,0
28,hombre,156.7,63.099999999999994,2
47,hombre,NA,NA,3
6,hombre,NA,NA,0
44,mujer,153.1,107,0
77,mujer,166.5,47.6,3
31,hombre,185.1,56.7,7
59,mujer,171.2,88.1,0
4,mujer,104.9,16.4,0
32,hombre,168.9,58.400000000000006,6
22,hombre,186.2,55.3,5
28,mujer,168.1,130.2,5
10,mujer,154.6,36.9,0
27,mujer,167.8,74.1,3
41,hombre,182.5,105.1,0
59,mujer,160.7,92.9,0
11,hombre,149.3,62,0
33,mujer,160.9,57,6
39,mujer,156.2,69.1,0
62,mujer,170.6,95.1,0
44,mujer,169.6,96.6,2
57,mujer,160.7,61.5,0
51,hombre,176.8,84.2,0
42,hombre,169.5,62.8,0
56,hombre,177.1,85.2,6
18,hombre,178.8,85.3,5
19,mujer,158.1,70,3
49,mujer,153,67.5,7
43,mujer,176.8,50.6,6
17,hombre,161.8,76.3,0
54,hombre,164.3,77.4,0
30,hombre,166.1,51,4
40,hombre,179.6,120.7,3
59,hombre,179.5,96.4,0
43,mujer,156.6,47.3,4
80,mujer,154.3,63.3,7
43,mujer,166.4,58.4,1
1,hombre,NA,11,0
63,mujer,168,73.4,0
45,hombre,167.3,82,0
34,mujer,163.5,64.3,0
67,mujer,158,61.3,3
24,mujer,139.8,33.2,3
1,hombre,NA,12.6,0
41,hombre,195.5,105.8,0
0,hombre,NA,5.8,0
40,hombre,163.8,70.8,0
53,hombre,178.3,119.1,0
1,hombre,NA,9.7,0
63,mujer,158.2,62.5,0
6,mujer,121.4,26.4,0
6,hombre,112.6,17.6,0
74,hombre,162.1,67.6,0
31,hombre,178.8,84.2,7
31,mujer,155.6,76,0
20,hombre,173.6,68,0
54,mujer,169.4,74.6,2
12,hombre,168.7,94.9,0
80,mujer,152.7,73.8,0
9,mujer,133.4,29.1,0
40,mujer,157.3,51,3
8,hombre,130.6,34.9,0
36,hombre,175.2,93.9,2
12,mujer,153.5,36.7,2
51,hombre,199.2,110.7,0
19,mujer,172.1,43.2,3
55,hombre,172.1,60.8,3
42,hombre,181.4,86.1,1
0,hombre,NA,6.2,0
37,mujer,151.5,66.7,0
15,hombre,182.7,59.099999999999994,4
20,mujer,165,99.5,0
37,mujer,164.3,68.5,1
38,hombre,177.2,76.2,0
22,mujer,160.1,60.8,3
15,hombre,176.3,58,5
61,hombre,177.6,145.9,0
74,mujer,160.5,76.7,0
30,hombre,186.2,79.9,2
59,mujer,160.7,115.4,2
32,mujer,165.8,54.4,5
20,hombre,166.6,65.3,3
38,hombre,179.1,71.3,1
38,mujer,171.3,119.4,0
40,mujer,152.2,46.8,0
35,hombre,182.4,83.7,0
59,hombre,175,105.3,0
60,mujer,170.8,107.2,0
17,mujer,165.6,64.4,0
17,hombre,172.1,78.9,3
73,mujer,149,62.4,0
41,mujer,168.8,106.5,0
51,hombre,172.8,125,7
79,mujer,158.7,91.2,0
63,hombre,189.9,130.6,0
58,mujer,157.9,53.8,0
52,mujer,160,33.9,6
75,hombre,168.6,59.900000000000006,7
47,hombre,191.1,109.6,3
44,hombre,175.7,77.2,2
3,hombre,98.9,15.6,0
9,hombre,143.6,33.3,0
32,hombre,160.9,69.2,3
1,mujer,NA,10.3,0
63,mujer,160.4,105.7,0
26,hombre,168.4,51,7
17,hombre,171.5,49,4
44,mujer,172.1,82.7,3
43,mujer,157.8,65.4,2
15,mujer,162.3,45.4,5
56,mujer,159.8,52.8,7
3,mujer,102.3,16.9,0
70,mujer,158.6,160.7,0
17,hombre,166.2,49.1,5
80,mujer,161,85.6,0
38,mujer,161.8,70.1,5
15,mujer,167.5,50.8,5
28,hombre,185.1,136.8,2
37,hombre,176.3,121.2,0
56,mujer,153.4,58.5,0
6,mujer,127.5,33.5,0
3,hombre,99.6,17.7,0
72,hombre,171.8,88.2,0
8,mujer,139.6,59.5,0
37,hombre,172.6,114,0
20,mujer,145.2,51.2,0
22,mujer,176.4,75.4,3
18,hombre,175.9,58.9,2
35,mujer,162.8,61,3
52,hombre,179.8,75,0
17,mujer,167.8,44.3,5
15,hombre,175,56.599999999999994,5
18,hombre,181.3,120.4,0
14,hombre,166.2,63.099999999999994,7
80,hombre,178.8,88.9,0
28,mujer,169.1,50.1,7
54,mujer,168,72.1,0
29,hombre,178.5,47.6,3
75,mujer,161.2,64.7,0
60,hombre,183.3,72.2,2
16,hombre,164.7,62.5,0
30,mujer,163,80,0
17,hombre,186.2,64.3,7
3,mujer,100.7,15.1,0
17,mujer,168.2,53.7,5
29,mujer,162.1,53.2,0
33,mujer,168.3,64.3,7
8,hombre,123.4,24.1,0
9,hombre,143.1,33.1,0
11,mujer,156.4,44.9,0
48,hombre,161.7,78.5,0
22,mujer,161.1,96.3,0
31,hombre,179.8,85.4,3
24,mujer,155,103.9,1
59,hombre,178.7,98.4,0
35,mujer,164.7,58.8,4
41,hombre,171.2,65.4,7
31,hombre,175.7,90.4,3
52,mujer,171.1,98.7,0
50,hombre,170.9,69.6,2
41,mujer,149,64.6,1
30,hombre,181.3,108.5,0
14,mujer,158.6,64.5,1
29,hombre,173.1,90.2,3
16,hombre,180.7,75.1,2
0,mujer,NA,10.6,0
29,hombre,170.6,94,1
45,hombre,179.2,80.1,7
61,mujer,157.2,61.7,3
40,hombre,166.5,81.8,0
24,mujer,164.9,61.5,0
60,mujer,162.2,105.3,0
20,hombre,170.1,54.6,3
79,hombre,170,81.6,3
80,mujer,157.5,64.2,0
13,hombre,156,38.4,0
20,mujer,164.1,50.8,0
46,mujer,168.5,63.9,0
50,mujer,162.4,76,0
62,mujer,166.3,85.8,0
8,mujer,132.5,36.8,0
39,hombre,183.3,93.1,4
40,hombre,181.3,88.6,0
43,mujer,167.9,57.5,0
40,hombre,172.9,78.5,1
0,mujer,NA,6.7,0
17,mujer,NA,NA,0
52,hombre,176.5,92.5,0
44,mujer,166,63.3,4
38,mujer,164.7,91.8,5
0,mujer,NA,9.4,0
25,hombre,174,107.2,0
49,mujer,157.4,59.900000000000006,7
62,hombre,164.5,67.6,1
27,hombre,180.1,79.7,0
7,hombre,123.8,23,0
80,mujer,153.5,75.9,0
28,mujer,160.9,84.8,2
9,mujer,131.8,30,0
37,hombre,170.1,66.2,3
73,hombre,170.2,75.8,0
68,mujer,157.9,57,2
47,mujer,148.2,84.7,0
75,mujer,159.9,96.4,5
18,hombre,175.6,50.5,5
9,mujer,139.7,30.5,0
7,mujer,125.8,27.7,0
10,mujer,143.8,38.4,0
65,hombre,183.2,98.3,5
62,hombre,177.2,74.1,0
47,mujer,NA,NA,5
22,mujer,161.7,84.7,0
7,mujer,126.4,24.8,0
11,mujer,171.5,113.9,0
47,mujer,162.3,63.9,0
7,mujer,126,26.8,0
9,hombre,146.2,43.7,0
34,hombre,168.9,76.9,0
20,hombre,173.9,65.9,4
5,mujer,110,20.6,0
48,mujer,159.3,57.3,2
35,mujer,165.8,47.3,7
33,mujer,165,89.2,5
43,mujer,171,130,4
55,hombre,179.9,93.5,3
19,hombre,170,69.6,0
67,hombre,164.3,81.2,0
71,hombre,NA,NA,5
64,mujer,164.5,111.4,0
34,hombre,181.4,85.1,5
15,mujer,164.5,57.7,2
